2025-12-18-19-04-59 - 0000	 - IoU 0.1172	 - PD 49.3197	 - FA 155234.3416
2025-12-18-19-05-14 - 0001	 - IoU 2.0308	 - PD 66.3265	 - FA 8130.5812
2025-12-18-19-05-30 - 0002	 - IoU 6.2921	 - PD 80.9524	 - FA 2848.0795
2025-12-18-19-05-45 - 0003	 - IoU 31.8336	 - PD 91.1565	 - FA 282.4015
2025-12-18-19-05-59 - 0004	 - IoU 41.1049	 - PD 86.7347	 - FA 150.0068
2025-12-18-19-06-48 - 0007	 - IoU 45.0232	 - PD 87.7551	 - FA 113.1124
2025-12-18-19-07-21 - 0009	 - IoU 57.6256	 - PD 88.7755	 - FA 21.4838
2025-12-18-19-10-08 - 0019	 - IoU 57.6595	 - PD 91.1565	 - FA 30.1380
2025-12-18-19-12-56 - 0029	 - IoU 57.7803	 - PD 91.4966	 - FA 46.2319
2025-12-18-19-13-13 - 0030	 - IoU 58.1651	 - PD 87.7551	 - FA 48.8889
2025-12-18-19-14-03 - 0033	 - IoU 59.8151	 - PD 89.7959	 - FA 38.5645
2025-12-18-19-14-19 - 0034	 - IoU 60.0486	 - PD 89.7959	 - FA 10.4762
2025-12-18-19-14-53 - 0036	 - IoU 61.1534	 - PD 91.1565	 - FA 34.4651
2025-12-18-19-15-42 - 0039	 - IoU 63.1950	 - PD 91.1565	 - FA 28.3161
2025-12-18-19-21-29 - 0060	 - IoU 63.8171	 - PD 89.1156	 - FA 13.9682
2025-12-18-19-24-16 - 0070	 - IoU 63.8678	 - PD 91.4966	 - FA 21.7115
2025-12-18-19-25-38 - 0075	 - IoU 65.2937	 - PD 92.8571	 - FA 20.1173
2025-12-18-19-26-46 - 0079	 - IoU 65.8663	 - PD 93.5374	 - FA 15.1829
2025-12-18-19-32-21 - 0099	 - IoU 66.0225	 - PD 90.4762	 - FA 11.9186
2025-12-18-19-39-32 - 0125	 - IoU 66.1784	 - PD 91.8367	 - FA 9.0338
2025-12-18-19-51-22 - 0167	 - IoU 67.4534	 - PD 92.5170	 - FA 7.8192
2025-12-18-19-58-13 - 0191	 - IoU 67.7921	 - PD 94.2177	 - FA 10.4003
2025-12-18-20-06-38 - 0221	 - IoU 67.9668	 - PD 93.8776	 - FA 9.4134
2025-12-18-20-07-12 - 0223	 - IoU 68.0222	 - PD 91.4966	 - FA 6.5286
2025-12-18-20-14-49 - 0250	 - IoU 68.1122	 - PD 90.8163	 - FA 7.1360
2025-12-18-20-23-16 - 0280	 - IoU 68.1505	 - PD 92.8571	 - FA 6.1491
2025-12-18-20-29-28 - 0302	 - IoU 68.6888	 - PD 92.8571	 - FA 6.6046
2025-12-18-21-30-14 - 0520	 - IoU 68.9609	 - PD 93.5374	 - FA 10.4003
2025-12-18-21-30-31 - 0521	 - IoU 68.9909	 - PD 93.5374	 - FA 9.3375
2025-12-19-01-01-10 - 0866	 - IoU 69.3878	 - PD 93.1973	 - FA 7.7433
2025-12-19-01-08-31 - 0875	 - IoU 69.5947	 - PD 93.1973	 - FA 7.8951
