2025-12-15-22-18-36 - 0000	 - IoU 0.2413	 - PD 42.2018	 - FA 100162.7722
2025-12-15-22-19-02 - 0001	 - IoU 7.9778	 - PD 53.2110	 - FA 1794.8594
2025-12-15-22-19-30 - 0002	 - IoU 12.3016	 - PD 75.2294	 - FA 2267.3496
2025-12-15-22-19-43 - 0003	 - IoU 23.5966	 - PD 80.7339	 - FA 838.3463
2025-12-15-22-20-36 - 0005	 - IoU 52.1779	 - PD 92.6606	 - FA 101.4887
2025-12-15-22-21-21 - 0007	 - IoU 55.5469	 - PD 89.9083	 - FA 37.9695
2025-12-15-22-22-35 - 0010	 - IoU 58.0999	 - PD 91.7431	 - FA 68.4871
2025-12-15-22-23-03 - 0011	 - IoU 58.7208	 - PD 92.6606	 - FA 68.4871
2025-12-15-22-25-27 - 0017	 - IoU 65.6317	 - PD 97.2477	 - FA 28.5659
2025-12-15-22-52-10 - 0077	 - IoU 68.6418	 - PD 100.0000	 - FA 57.6640
2025-12-15-22-55-08 - 0084	 - IoU 69.5946	 - PD 99.0826	 - FA 57.3092
2025-12-15-22-59-03 - 0092	 - IoU 70.2723	 - PD 99.0826	 - FA 45.2441
2025-12-15-23-01-16 - 0097	 - IoU 70.3144	 - PD 99.0826	 - FA 43.1150
2025-12-15-23-27-13 - 0156	 - IoU 70.8604	 - PD 99.0826	 - FA 40.9858
2025-12-15-23-34-51 - 0175	 - IoU 71.5041	 - PD 99.0826	 - FA 46.1312
2025-12-15-23-51-16 - 0213	 - IoU 72.5567	 - PD 100.0000	 - FA 50.2121
2025-12-15-23-51-34 - 0214	 - IoU 72.5774	 - PD 100.0000	 - FA 40.4535
2025-12-15-23-53-32 - 0218	 - IoU 72.9907	 - PD 100.0000	 - FA 30.1627
2025-12-16-00-15-27 - 0269	 - IoU 75.2702	 - PD 99.0826	 - FA 19.8719
2025-12-16-01-24-19 - 0428	 - IoU 75.7406	 - PD 98.1651	 - FA 28.5659
2025-12-16-02-21-53 - 0561	 - IoU 77.0828	 - PD 100.0000	 - FA 5.3228
2025-12-16-02-52-49 - 0633	 - IoU 77.1802	 - PD 99.0826	 - FA 7.6294
2025-12-16-03-50-49 - 0899	 - IoU 77.7367	 - PD 100.0000	 - FA 5.5003
