2025-12-14-10-56-37 - 0000	 - IoU 1.1522	 - PD 30.7203	 - FA 22555.6245
2025-12-14-10-56-58 - 0001	 - IoU 6.7285	 - PD 62.9237	 - FA 9592.5821
2025-12-14-10-58-19 - 0004	 - IoU 24.6464	 - PD 76.0593	 - FA 1710.5103
2025-12-14-10-58-45 - 0005	 - IoU 53.1946	 - PD 76.4831	 - FA 209.9939
2025-12-14-11-00-08 - 0008	 - IoU 58.0278	 - PD 70.7627	 - FA 102.1102
2025-12-14-11-00-36 - 0009	 - IoU 61.2021	 - PD 75.0000	 - FA 102.3164
2025-12-14-11-01-59 - 0012	 - IoU 61.2426	 - PD 78.8136	 - FA 85.5317
2025-12-14-11-02-26 - 0013	 - IoU 64.9393	 - PD 81.9915	 - FA 88.0061
2025-12-14-11-02-53 - 0014	 - IoU 65.5449	 - PD 85.1695	 - FA 120.2558
2025-12-14-11-03-20 - 0015	 - IoU 67.2448	 - PD 81.7797	 - FA 63.6745
2025-12-14-11-05-12 - 0019	 - IoU 69.7549	 - PD 88.3475	 - FA 43.8381
2025-12-14-11-09-51 - 0029	 - IoU 70.0573	 - PD 87.5000	 - FA 66.1902
2025-12-14-11-14-31 - 0039	 - IoU 71.6860	 - PD 88.3475	 - FA 48.8281
2025-12-14-11-20-39 - 0052	 - IoU 72.0452	 - PD 88.1356	 - FA 45.9413
2025-12-14-11-22-04 - 0055	 - IoU 72.5246	 - PD 88.9831	 - FA 29.6103
2025-12-14-11-26-18 - 0064	 - IoU 72.5707	 - PD 90.0424	 - FA 36.4149
2025-12-14-11-44-10 - 0102	 - IoU 72.6534	 - PD 90.4661	 - FA 32.5796
2025-12-14-11-45-06 - 0104	 - IoU 73.4137	 - PD 89.6186	 - FA 18.4755
2025-12-14-11-48-53 - 0112	 - IoU 73.5931	 - PD 91.9492	 - FA 24.1254
2025-12-14-11-52-38 - 0120	 - IoU 73.7039	 - PD 88.9831	 - FA 23.5068
2025-12-14-12-06-47 - 0150	 - IoU 73.9040	 - PD 93.4322	 - FA 22.9707
2025-12-14-12-10-04 - 0157	 - IoU 74.1656	 - PD 92.7966	 - FA 25.9399
2025-12-14-12-12-25 - 0162	 - IoU 74.4020	 - PD 92.3729	 - FA 20.9911
2025-12-14-12-18-04 - 0174	 - IoU 74.4416	 - PD 92.1610	 - FA 27.7957
2025-12-14-12-20-25 - 0179	 - IoU 74.6054	 - PD 94.2797	 - FA 31.3011
2025-12-14-12-20-53 - 0180	 - IoU 75.0426	 - PD 94.4915	 - FA 20.0839
2025-12-14-12-26-04 - 0191	 - IoU 75.3943	 - PD 91.9492	 - FA 9.4852
2025-12-14-12-40-40 - 0222	 - IoU 75.5168	 - PD 94.0678	 - FA 24.7027
2025-12-14-12-41-08 - 0223	 - IoU 75.5969	 - PD 94.0678	 - FA 20.9911
2025-12-14-12-50-34 - 0243	 - IoU 75.9506	 - PD 95.9746	 - FA 17.7332
2025-12-14-12-51-01 - 0244	 - IoU 76.1956	 - PD 96.3983	 - FA 18.2281
2025-12-14-13-07-02 - 0278	 - IoU 76.2606	 - PD 95.3390	 - FA 12.3308
2025-12-14-13-40-33 - 0349	 - IoU 76.4037	 - PD 95.7627	 - FA 16.3310
2025-12-14-13-44-49 - 0358	 - IoU 76.5947	 - PD 96.1864	 - FA 19.6715
2025-12-14-14-17-37 - 0427	 - IoU 76.6104	 - PD 95.9746	 - FA 18.1456
2025-12-14-14-21-25 - 0435	 - IoU 76.8431	 - PD 97.2458	 - FA 17.7744
2025-12-14-14-21-53 - 0436	 - IoU 77.0906	 - PD 96.6102	 - FA 15.5475
2025-12-14-14-36-33 - 0467	 - IoU 77.1130	 - PD 96.3983	 - FA 10.2275
2025-12-14-14-37-02 - 0468	 - IoU 77.2467	 - PD 95.7627	 - FA 8.4130
2025-12-14-14-40-21 - 0475	 - IoU 77.3395	 - PD 94.9153	 - FA 10.1863
2025-12-14-14-41-19 - 0477	 - IoU 77.4006	 - PD 95.1271	 - FA 9.7326
2025-12-14-15-08-22 - 0534	 - IoU 77.5410	 - PD 96.8220	 - FA 7.5057
2025-12-14-15-09-19 - 0536	 - IoU 77.5649	 - PD 96.8220	 - FA 11.6297
2025-12-14-17-18-25 - 0816	 - IoU 77.7375	 - PD 95.7627	 - FA 9.0728
2025-12-14-18-25-47 - 0965	 - IoU 77.8259	 - PD 96.6102	 - FA 7.1345
2025-12-14-18-26-15 - 0966	 - IoU 77.8291	 - PD 96.8220	 - FA 9.4440
2025-12-14-18-26-42 - 0967	 - IoU 77.8639	 - PD 96.8220	 - FA 8.9903
